"year","games","wins","pctwin","Team","payroll","top20","top20share"
2010,162,57,35.1851851851852,"PIT",3.4943e-05,21050000,60240963.8554217
2009,163,59,36.1963190184049,"WSN",6.0328e-05,34500000,57187375.6796181
2008,163,59,36.1963190184049,"WSN",5.4961e-05,26700000,48579902.112407
2008,163,61,37.4233128834356,"SEA",0.000117666482,65352149,55540157.1366772
2010,162,61,37.6543209876543,"SEA",8.651e-05,53700000,62073748.6995723
2009,163,62,38.0368098159509,"PIT",4.8693e-05,26400000,54217238.6174604
2008,163,63,38.6503067484663,"SDP",7.3677616e-05,46416666,62999685.0060947
2009,163,64,39.2638036809816,"BAL",6.7101666e-05,36166666,53898313.0463557
2009,163,65,39.8773006134969,"CLE",8.0743866e-05,43400000,53750213.0502396
2009,163,65,39.8773006134969,"KCR",7.0519333e-05,37733333,53507784.8793607
2010,162,65,40.1234567901235,"ARI",6.0718166e-05,31100000,51220255.8950809
2007,163,66,40.4907975460123,"TBR",2.41235e-05,12690000,52604307.0035443
2010,162,66,40.7407407407407,"BAL",8.16125e-05,44350000,54342165.7221627
2008,163,67,41.1042944785276,"PIT",4.8689783e-05,31837283,65388015.7978934
2010,162,67,41.358024691358,"KCR",6.964521e-05,40850000,58654428.6390981
2008,163,68,41.7177914110429,"BAL",6.7196246e-05,40793580,60708123.4865412
2007,163,68,41.7177914110429,"PIT",3.8537833e-05,18925000,49107587.3415093
2007,163,69,42.3312883435583,"BAL",9.3554808e-05,42214474,45122719.9354629
2007,163,69,42.3312883435583,"KCR",6.67365e-05,41350000,61960096.7986035
2010,162,69,42.5925925925926,"CLE",6.0759366e-05,43854166,72176799.8698341
2010,162,69,42.5925925925926,"WSN",6.14e-05,41950000,68322475.5700326
2009,163,70,42.9447852760736,"ARI",7.3086666e-05,40666666,55641703.5085442
2009,163,70,42.9447852760736,"NYM",0.000149373987,76119821,50959221.5678089
2007,163,71,43.558282208589,"MIA",3.0507e-05,20950000,68672763.6280198
2007,163,71,43.558282208589,"SFG",8.9569056e-05,52437472,58544182.9374645
2008,163,72,44.1717791411043,"ATL",0.000102365683,78308517,76498797.9418845
2007,163,72,44.1717791411043,"CHW",0.000108671833,58833333,54138530.0825836
2007,163,72,44.1717791411043,"CIN",6.477998e-05,41229980,63646175.8710021
2008,163,72,44.1717791411043,"SFG",7.56445e-05,46975000,62099689.99729
2007,163,73,44.7852760736196,"HOU",8.7759e-05,50500000,57543955.6056929
2007,163,73,44.7852760736196,"WSN",3.73475e-05,21250000,56898052.0784524
2008,163,74,45.398773006135,"CIN",6.9542695e-05,41282695,59363093.4205239
2008,163,74,45.398773006135,"COL",6.86555e-05,40662500,59226864.5629265
2008,163,74,45.398773006135,"DET",0.000137685196,74774363,54308208.2695368
2009,163,74,45.398773006135,"HOU",0.000102996414,70311414,68265885.4511187
2008,163,75,46.0122699386503,"KCR",5.82455e-05,34900000,59918792.0096832
2009,163,75,46.0122699386503,"OAK",6.191e-05,39300000,63479244.0639638
2008,163,75,46.0122699386503,"OAK",4.7967126e-05,28500000,59415692.3222792
2009,163,75,46.0122699386503,"SDP",4.37342e-05,29525000,67510095.0743354
2007,163,75,46.0122699386503,"TEX",6.8318675e-05,39836116,58309263.1699898
2009,163,75,46.0122699386503,"TOR",8.05383e-05,52225000,64844924.7128385
2010,162,75,46.2962962962963,"CHC",0.000146609,82125000,56016342.789324
2007,163,76,46.6257668711656,"OAK",7.936694e-05,46358194,58409955.0770132
2010,162,76,46.9135802469136,"HOU",9.23555e-05,5.9e+07,63883580.2957052
2010,162,77,47.5308641975309,"MIL",8.0658278e-05,44850276,55605298.1939436
2009,163,78,47.8527607361963,"CIN",6.34335e-05,4e+07,63058163.2733493
2007,163,78,47.8527607361963,"STL",8.9761823e-05,52061990,58000147.791116
2009,163,79,48.4662576687117,"CHW",9.56285e-05,60500000,63265658.250417
2007,163,79,48.4662576687117,"MIN",7.14395e-05,40500000,56691326.2270873
2008,163,79,48.4662576687117,"TEX",6.7315496e-05,38793866,57629919.2685143
2010,162,79,48.7654320987654,"NYM",0.000134020942,75112942,56045675.3094602
2009,163,80,49.079754601227,"MIL",7.9768502e-05,42675000,53498560.1208858
2010,162,80,49.3827160493827,"LAA",0.000104963866,52500000,50017212.5900927
2010,162,80,49.3827160493827,"LAD",8.9608016e-05,54928339,61298465.7533317
2010,162,80,49.3827160493827,"MIA",5.7029719e-05,35250000,61809878.4600359
2008,163,81,49.6932515337423,"CLE",7.8576766e-05,42650000,54278131.0190343
2010,162,81,50,"DET",0.000122864928,75325976,61307956.001895
2010,162,81,50,"OAK",4.62449e-05,33300000,72007940.3350423
2008,163,82,50.3067484662577,"ARI",6.5386212e-05,41267212,63113018.3837534
2007,163,82,50.3067484662577,"LAD",0.000108067024,57264956,52990222.0681121
2009,163,83,50.920245398773,"CHC",0.000134809,78650000,58341802.1052007
2007,163,83,50.920245398773,"MIL",7.09865e-05,35883333,50549517.1617138
2007,163,83,50.920245398773,"TOR",8.19428e-05,52237500,63748736.9238054
2010,162,83,51.2345679012346,"COL",8.4227e-05,47850000,56810761.3948021
2007,163,84,51.5337423312883,"ATL",8.7290833e-05,58333333,66826413.4906354
2008,163,84,51.5337423312883,"LAD",0.000118164036,65191203,55170088.2999629
2008,163,84,51.5337423312883,"MIA",1.98115e-05,9107500,45970774.550135
2009,163,84,51.5337423312883,"TBR",6.3313034e-05,33695000,53219689.3296884
2007,163,85,52.1472392638037,"CHC",9.9670332e-05,50650000,50817529.1319387
2009,163,85,52.1472392638037,"SEA",9.8904166e-05,6.3e+07,63698024.6110159
2010,162,85,52.4691358024691,"TOR",6.2234e-05,39562500,63570556.2875599
2009,163,86,52.760736196319,"ATL",9.6726166e-05,60333666,62375744.3254807
2009,163,86,52.760736196319,"DET",0.000115085145,65854645,57222541.6234215
2008,163,86,52.760736196319,"HOU",8.8930414e-05,60311414,67818658.7549227
2008,163,86,52.760736196319,"STL",9.7811949e-05,58370949,59676705.757085
2008,163,86,52.760736196319,"TOR",9.77939e-05,59385000,60724646.424777
2010,162,86,53.0864197530864,"STL",8.8817251e-05,55957751,63003245.8446614
2009,163,87,53.3742331288344,"MIA",3.6834e-05,19212500,52159689.4173861
2009,163,87,53.3742331288344,"MIN",6.4869266e-05,45016666,69395984.8412652
2009,163,87,53.3742331288344,"TEX",6.7623798e-05,47873418,70793743.3505288
2007,163,88,53.9877300613497,"DET",9.3880369e-05,47683710,50791992.5197567
2008,163,88,53.9877300613497,"MIN",5.6932766e-05,31566666,55445516.2076615
2007,163,88,53.9877300613497,"NYM",0.000115231663,69573663,60377209.8646185
2009,163,88,53.9877300613497,"SFG",8.012645e-05,53700000,67019067.9856652
2007,163,88,53.9877300613497,"SEA",0.000106460833,59075000,55489890.8221017
2010,162,88,54.320987654321,"CHW",0.00010553,58700000,55623993.1772956
2008,163,89,54.601226993865,"CHW",0.000120794332,63166666,52292740.0269079
2008,163,89,54.601226993865,"NYM",0.000137793376,81420376,59088744.5852259
2008,163,89,54.601226993865,"NYY",0.000181081577,105128571,58055917.5271596
2007,163,89,54.601226993865,"PHI",8.8528213e-05,46291666,52290297.5574578
2007,163,89,54.601226993865,"SDP",5.8110567e-05,38416667,66109606.1926224
2010,162,89,54.9382716049383,"BOS",0.000149447333,66675000,44614379.3011013
2007,163,90,55.2147239263804,"ARI",5.2067546e-05,30675546,58914906.4179057
2007,163,90,55.2147239263804,"COL",5.4424e-05,32450000,59624430.3983537
2008,163,90,55.2147239263804,"MIL",8.0533499e-05,41550000,51593436.9125077
2010,162,90,55.5555555555556,"SDP",3.8507633e-05,23550000,61156706.2561337
