"year","Team","payroll","top20","top20share"
2003,"NYY",152.749814,64457143,42.1978536746369
2003,"SEA",86.959167,37991667,43.6890880060983
2004,"SEA",81.515834,36075000,44.2552056818802
2010,"BOS",149.447333,66675000,44.6143793011014
2007,"BAL",93.554808,42214474,45.1227199354629
2005,"NYY",182.306817,83742857,45.9351210108616
2008,"MIA",19.8115,9107500,45.970774550135
2004,"NYY",162.19395,75742857,46.6989409900924
2005,"MIA",60.408834,28768334,47.6227268349527
2010,"NYY",173.333389,84010714,48.467704049795
2008,"WSN",54.961,26700000,48.579902112407
2006,"CLE",56.0315,27250000,48.633358021827
2007,"PIT",38.537833,18925000,49.1075873415093
2007,"BOS",129.776214,64516381,49.7135638430629
2006,"LAD",98.447187,49050000,49.823668399992
2005,"CHC",87.032933,43366667,49.827881820322
2010,"LAA",104.963866,52500000,50.0172125900927
2004,"LAA",100.534667,50466667,50.1982733975734
2004,"CHC",90.56,45666667,50.4269732773852
2006,"CHC",94.424499,47666667,50.4812495748587
2007,"MIL",70.9865,35883333,50.5495171617138
2007,"DET",93.880369,47683710,50.7919925197567
2009,"BOS",108.745999,55249999,50.8064659923718
2007,"CHC",99.670332,50650000,50.8175291319387
2009,"NYM",149.373987,76119821,50.9592215678089
2003,"BAL",73.8775,37680000,51.0033501404352
2010,"ARI",60.718166,31100000,51.2202558950809
2007,"CLE",58.373267,29900000,51.2220773937494
2006,"NYY",172.982352,88689998,51.2711250451722
2004,"BAL",51.623333,26500000,51.3333767116509
2005,"BOS",118.255125,60750000,51.3719807069672
2008,"MIL",80.533499,41550000,51.5934369125077
2010,"PHI",122.928379,63702380,51.820727254526
2009,"PHI",98.004046,51035713,52.0751082052265
2009,"MIA",36.834,19212500,52.1596894173861
2006,"TOR",71.915,37520000,52.1727038865327
2006,"BAL",72.585582,37878082,52.1840301562919
2005,"CHW",75.178,39250000,52.2094229694858
2003,"SFG",82.852167,43287500,52.2466720755777
2007,"PHI",88.528213,46291666,52.2902975574578
2008,"CHW",120.794332,63166666,52.2927400269079
2005,"PHI",95.522,50016667,52.3614109838571
2007,"TBR",24.1235,12690000,52.6043070035443
2005,"TBR",29.679067,15616667,52.6184566381416
2005,"CLE",41.5025,21850000,52.647430877658
2004,"MIA",42.143042,22191667,52.6579619003298
2008,"PHI",88.26988,46577380,52.7670140709379
2009,"NYY",168.449189,89010714,52.8412837891431
2006,"BOS",113.599824,60104238,52.9087421825583
2007,"LAD",108.067024,57264956,52.9902220681121
2006,"MIA",14.9985,7950000,53.005300530053
2009,"TBR",63.313034,33695000,53.2196893296884
2006,"LAA",103.472,55175000,53.3236044533787
2007,"NYY",166.93052,89028571,53.3327105193226
2005,"LAA",87.575322,46850000,53.4968058695805
2009,"MIL",79.768502,42675000,53.4985601208858
2009,"KCR",70.519333,37733333,53.5077848793607
2009,"CLE",80.743866,43400000,53.7502130502396
2004,"OAK",59.425667,31941667,53.7506242883231
2003,"MIA",48.75,26250000,53.8461538461538
2009,"BAL",67.101666,36166666,53.8983130463557
2006,"PHI",87.918333,47558333,54.093761081662
2007,"CHW",108.671833,58833333,54.1385300825836
2006,"TBR",35.417967,19191667,54.1862467713068
2009,"PIT",48.693,26400000,54.2172386174604
2008,"CLE",78.576766,42650000,54.2781310190343
2008,"DET",137.685196,74774363,54.3082082695368
2010,"BAL",81.6125,44350000,54.3421657221627
2004,"PHI",93.219167,50766667,54.4594729107588
2003,"NYM",117.176429,63904763,54.5372166956889
2004,"TBR",29.556667,16166667,54.6971923458081
2008,"BOS",120.390035,66038619,54.8538913540477
2006,"CHW",102.750667,56666667,55.1496828726182
2008,"LAD",118.164036,65191203,55.1700882999629
2004,"LAD",92.902001,51316667,55.2374184060901
2005,"DET",68.737,38050000,55.3559218470402
2008,"MIN",56.932766,31566666,55.4455162076615
2007,"SEA",106.460833,59075000,55.4898908221017
2004,"STL",83.228333,46208333,55.5199549653361
2008,"SEA",117.666482,65352149,55.5401571366772
2006,"TEX",68.228662,37926302,55.5870522567187
2010,"MIL",80.658278,44850276,55.6052981939436
2010,"CHW",105.53,58700000,55.6239931772956
2009,"ARI",73.086666,40666666,55.6417035085442
2009,"LAA",113.709,63400000,55.7563605343464
2006,"SFG",89.728419,50102676,55.8381352957974
2005,"NYM",101.305821,56616799,55.8870146267311
2008,"CHC",118.345833,66250000,55.9800022701264
2010,"CHC",146.609,82125000,56.016342789324
2010,"NYM",134.020942,75112942,56.0456753094602
2008,"LAA",118.825333,66600000,56.0486542040661
2010,"TBR",71.923471,40375000,56.1360560588073
2005,"TOR",45.7195,25720000,56.2560832904997
2008,"TBR",43.820597,24682797,56.3269300050841
2003,"LAA",79.031667,44650000,56.4963408907976
2010,"MIN",97.559166,55166666,56.5468815098317
2007,"MIN",71.4395,40500000,56.6913262270873
2010,"COL",84.227,47850000,56.8107613948021
2005,"PIT",38.133,21675000,56.8405318228306
2007,"WSN",37.3475,21250000,56.8980520784524
2003,"STL",83.786666,47708333,56.940245122058
2003,"MIN",55.505,31650000,57.021889919827
2009,"WSN",60.328,34500000,57.1873756796181
2009,"DET",115.085145,65854645,57.2225416234215
2005,"SDP",63.290833,36270833,57.3081934314247
2005,"STL",91.783333,52625000,57.336117876652
2003,"CHC",79.868333,45815000,57.3631604405716
2007,"HOU",87.759,50500000,57.5439556056929
2008,"TEX",67.315496,38793866,57.6299192685143
2005,"SFG",90.1995,52137500,57.8024268427209
2007,"STL",89.761823,52061990,58.000147791116
2008,"NYY",181.081577,105128571,58.0559175271596
2004,"BOS",122.711,71500000,58.2669850298669
2007,"TEX",68.318675,39836116,58.3092631699898
2009,"CHC",134.809,78650000,58.3418021052007
2007,"OAK",79.36694,46358194,58.4099550770132
2003,"LAD",105.87262,61880953,58.4484949933231
2007,"SFG",89.569056,52437472,58.5441829374645
2003,"PIT",54.812429,32119762,58.5994136475871
2006,"PIT",46.71775,27400000,58.650084817869
2010,"KCR",69.64521,40850000,58.6544286390981
2006,"WSN",63.143,37075000,58.7159305069446
2007,"ARI",52.067546,30675546,58.9149064179057
2003,"OAK",50.260834,29683334,59.058578295776
2008,"NYM",137.793376,81420376,59.0887445852259
2005,"WSN",48.5815,28750000,59.1789055504667
2008,"COL",68.6555,40662500,59.2268645629265
2008,"CIN",69.542695,41282695,59.3630934205239
2006,"DET",82.227866,48816410,59.3672344603957
2008,"OAK",47.967126,28500000,59.4156923222792
2003,"ARI",80.657,48083333,59.6145814994359
2007,"COL",54.424,32450000,59.6244303983537
2008,"STL",97.811949,58370949,59.676705757085
2006,"SEA",87.959833,52650000,59.8568667132417
2008,"KCR",58.2455,34900000,59.9187920096832
2003,"PHI",70.78,42616667,60.210040972026
2010,"PIT",34.943,21050000,60.2409638554217
2006,"KCR",47.294,28500000,60.2613439336914
2005,"SEA",87.754334,52900000,60.2819229418344
2003,"BOS",98.6965,59500000,60.2858257385014
2003,"CIN",59.355667,35800000,60.3143757107472
2007,"NYM",115.231663,69573663,60.3772098646185
2008,"BAL",67.196246,40793580,60.7081234865412
2008,"TOR",97.7939,59385000,60.724646424777
2007,"LAA",109.251333,66600000,60.9603545981448
2010,"SDP",38.507633,23550000,61.1567062561337
2004,"SDP",55.384833,33883333,61.1779997603315
2006,"CIN",57.909519,35448019,61.2127671100152
2010,"SFG",94.058,57600000,61.2388100958983
2003,"ATL",106.243667,65125000,61.2977712826874
2010,"LAD",89.608016,54928339,61.2984657533317
2010,"DET",122.864928,75325976,61.307956001895
2004,"MIN",53.585,3.3e+07,61.5843986190165
2010,"ATL",84.423666,52083666,61.6932057890023
2006,"NYM",101.084963,62440068,61.7698875746732
2010,"MIA",57.029719,35250000,61.8098784600359
2007,"KCR",66.7365,41350000,61.9600967986035
2010,"SEA",86.51,53700000,62.0737486995723
2008,"SFG",75.6445,46975000,62.0996899972899
2006,"STL",88.491371,55031038,62.1880273501469
2009,"ATL",96.726166,60333666,62.3757443254807
2004,"CHW",65.2125,40875000,62.6797009775733
2005,"MIN",56.186,35250000,62.7380486242124
2010,"TEX",52.000544,32639974,62.7685241139016
2004,"NYM",96.66097,60799304,62.8995384590078
2008,"SDP",73.677616,46416666,62.9996850060947
2010,"STL",88.817251,55957751,63.0032458446614
2009,"CIN",63.4335,4e+07,63.0581632733493
2008,"ARI",65.386212,41267212,63.1130183837534
2004,"TEX",55.050417,34766667,63.1542300578759
2009,"LAD",97.314592,61505228,63.2024722458889
2006,"MIN",63.396006,40071506,63.2082500591599
2009,"CHW",95.6285,60500000,63.265658250417
