"year","games","wins","pctwin","Team","payroll","top20","top20share"
2018,39,9,23.0769230769231,"CHW",86.050333,57783333,67.1506210208391
2018,39,10,25.6410256410256,"BAL",148.160873,80836906,54.560225222215
2018,39,11,28.2051282051282,"CIN",101.718451,74639285,73.3783146186526
2018,39,12,30.7692307692308,"KCR",115.483116,77637500,67.2284422945429
2013,163,51,31.2883435582822,"HOU",18.8252,8900000,47.2770541614432
2018,39,13,33.3333333333333,"MIA",85.843,53900000,62.7890451172489
2018,39,14,35.8974358974359,"SDP",73.716532,53533332,72.6205242536369
2016,162,59,36.4197530864198,"MIN",96.2832,57700000,59.9273808930322
2013,163,62,38.0368098159509,"MIA",35.857,23200000,64.7014529938366
2018,39,15,38.4615384615385,"DET",111.286,84325000,75.773232931366
2018,39,15,38.4615384615385,"MIN",129.56,78950000,60.9370175980241
2018,39,15,38.4615384615385,"TBR",69.605999,39274999,56.4247328739582
2018,39,15,38.4615384615385,"TEX",128.821249,93416666,72.5165038572169
2013,163,63,38.6503067484663,"CHW",117.040777,59408777,50.7590418679466
2015,162,63,38.8888888888889,"PHI",107.54,8e+07,74.3909243072345
2014,162,64,39.5061728395062,"ARI",102.350333,52250000,51.0501514440603
2015,162,64,39.5061728395062,"CIN",116.732284,58124999,49.793422186445
2017,162,64,39.5061728395062,"DET",180.2506,114125000,63.3146297432574
2017,162,64,39.5061728395062,"SFG",156.197944,95677777,61.2541846261433
2013,163,66,40.4907975460123,"CHC",103.456533,62383333,60.299075554755
2013,163,66,40.4907975460123,"MIN",69.78,49500000,70.9372312983663
2014,162,66,40.7407407407407,"COL",95.079071,57428571,60.4008541480175
2017,162,66,40.7407407407407,"PHI",86.513378,48740378,56.3385445427874
2018,39,16,41.025641025641,"LAD",157.496785,94966667,60.2975273431772
2015,162,67,41.358024691358,"ATL",81.247648,47159375,58.0439879318107
2017,162,67,41.358024691358,"CHW",109.301167,72416667,66.2542486851947
2014,162,67,41.358024691358,"TEX",102.585846,63700000,62.0943360938896
2016,162,68,41.9753086419753,"ATL",61.252791,38326041,62.5702770017451
2017,162,68,41.9753086419753,"CIN",81.840785,60864285,74.3691363664217
2016,162,68,41.9753086419753,"CIN",94.305559,74789284,79.3052761608677
2015,162,68,41.9753086419753,"COL",98.261171,62003571,63.1007857620585
2015,162,68,41.9753086419753,"MIL",86.473611,55111111,63.731710012665
